de adem	дихання
de boodschap	повідомлення; покупка
de grap	жарт
het bos	ліс
werkelijk	справжній, дійсно
huilen	плакати
de commandant	командир
de jurk	сукня
gevangen	спійманий, полонений
de veiligheid	безпека
de hoek	кут
de afstand	відстань
de regering	уряд
de stoel	стілець
onschuldig	невинний
de kogel	куля
het vlak	площина, поверхня
de voet	ступня, нога
ontsnappen	утекти
gooien	кидати
rechts	праворуч
ineens	раптом
de test	тест
de toestemming	дозвіл
breken	ламати
de rol	роль; рулон
opschieten	поспішати
kalm	спокійний
het goud	золото
verantwoordelijk	відповідальний
enorm	величезний
bespreken	обговорювати
de ervaring	досвід
de soldaat	солдат
gratis	безкоштовно
overleden	померлий
het eiland	острів
het beeld	образ, зображення
passen	підходити; приміряти
de leeftijd	вік
tekenen	малювати; підписувати
doorgaan	продовжувати
de boom	дерево
uitzoeken	вибирати; з'ясувати
het dak	дах
de lunch	обід, ланч
controleren	перевіряти
achteruit	назад
het dorp	село
de code	код
vieren	святкувати
het geluid	звук
verschrikkelijk	жахливий
het bier	пиво
eenmaal	одного разу
simpel	простий
vermist	зниклий
het gat	діра, отвір
de ouder	один із батьків
de wens	бажання
toevallig	випадковий, випадково
de leiding	керівництво
bouwen	будувати
het restaurant	ресторан
de toegang	доступ, вхід
verbergen	ховати
de taak	завдання
het lab	лабораторія
de misdaad	злочин
nadenken	обмірковувати
de vakantie	відпустка, канікули
behoorlijk	пристойний, доволі
de video	відео
draaien	крутити, обертати
het vertrek	від'їзд; приміщення
het slot	замок (на дверях); кінець
het proces	процес
de opdracht	завдання, доручення
het programma	програма
de leider	лідер, керівник
antwoorden	відповідати
de bruiloft	весілля
de vorm	форма
de directeur	директор
het advies	порада
volwassen	дорослий
de radio	радіо
de maan	місяць (небесне тіло)
gemakkelijk	легкий, зручний
de klas	клас
de krant	газета
langzaam	повільний
kosten	коштувати
de mist	туман
het pad	стежка
de vrijheid	свобода
verdwijnen	зникати
de beweging	рух
de twijfel	сумнів
de neef	двоюрідний брат; племінник
de fles	пляшка
de vis	риба
het rood	червоний колір
de taxi	таксі
het voorkomen	зовнішній вигляд; траплятися
binnenkort	незабаром
de doos	коробка
terecht	слушно, справедливо
de mening	думка
het geweer	рушниця
het bezit	власність
de top	вершина
vergeven	прощати
hopen	сподіватися
ophalen	забрати, підняти
de wind	вітер
oplossen	розчиняти; розв'язувати
jaloers	ревнивий, заздрісний
onmiddellijk	негайний, негайно
het gedrag	поведінка
stemmen	голосувати
het ontbijt	сніданок
de lol	веселощі, розвага
ontvangen	отримувати
de rivier	річка
het voedsel	їжа
gauw	швидко, скоро
vaker	частіше
keren	повертати
de chef	шеф, начальник
verraden	зраджувати
het geweld	насильство
het akkoord	угода; акорд
tonen	показувати
het verband	пов'язка; зв'язок
de brug	міст
de jas	пальто, куртка
de trap	сходи; удар ногою
aanvallen	атакувати
het leer	шкіра (матеріал); вчення
opnemen	піднімати; записувати
de schade	шкода, збиток
bijzonder	особливий
de huid	шкіра
zakken	опускатися; провалити іспит
openen	відкривати
de arts	лікар
de echtgenoot	чоловік (у шлюбі)
de bedoeling	намір
bedenken	придумати, обміркувати
tegenhouden	зупиняти, стримувати
de start	старт, початок
de burgemeester	мер
het kussen	подушка
de ster	зірка
gezocht	розшукуваний
het wezen	істота
de zomer	літо
de eigenaar	власник
de motor	мотор, двигун
de universiteit	університет
de beveiliging	охорона, захист
betekenen	означати
verborgen	прихований
het publiek	публіка
het rapport	звіт
opeens	раптом
het beest	звір, тварина
het kamp	табір
de afdeling	відділ
vorig	попередній
de rook	дим
de boel	купа речей, усе це
het strand	пляж
de magie	магія
de oplossing	рішення, розв'язок
het type	тип
rusten	відпочивати
wellicht	можливо
genaamd	на ім'я, названий
terugkomen	повертатися
voeren	вести; годувати
nauwelijks	ледве
het bad	ванна
bieden	пропонувати
geïnteresseerd	зацікавлений
de duivel	диявол
overkomen	траплятися; справляти враження
nerveus	знервований
de locatie	місце розташування
de blik	погляд; бляшанка
het doelwit	мішень, ціль
de klant	клієнт, покупець
de post	пошта; посада
springen	стрибати
de ziekte	хвороба
het toilet	туалет
de steen	камінь
logisch	логічний
landen	приземлятися
verwachten	очікувати
dankbaar	вдячний
de jury	журі, присяжні
verslaan	перемогти
vangen	ловити
testen	тестувати
de grens	кордон, межа
nogmaals	ще раз
steken	колоти, жалити
de theorie	теорія
de kleur	колір
de prins	принц
vissen	ловити рибу
de bron	джерело
het lid	член (учасник)
de drank	напій
de vergadering	збори, нарада
de machine	машина, механізм
het signaal	сигнал
het lijden	страждання
stappen	крокувати
eeuwig	вічний
dik	товстий
de verkoop	продаж
de rechtbank	суд
