stijlvol	стильний
het regime	режим
de slijm	слиз
de bakkerij	пекарня
instellen	налаштовувати, встановлювати
verscheuren	роздирати, шматувати
fouilleren	обшукувати
bars	суворий, різкий
planken	дощаний
opkijken	підводити очі
het behoud	збереження
de hendel	важіль
schikken	упорядковувати, влаштовувати
de motorkap	капот
afspelen	програвати, відтворювати
de sirene	сирена
onbewust	несвідомо
lazarus	у дим п'яний
hardlopen	бігати
hiertoe	для цього, досі
verhinderen	перешкоджати
de tolk	перекладач (усний)
de afbeelding	зображення
de ziekenwagen	швидка допомога
het telefoongesprek	телефонна розмова
het laken	простирадло; сукно
het foetus	плід, ембріон
opleggen	накладати, нав'язувати
aanraden	радити
de voorruit	лобове скло
elektrisch	електричний
de spoorweg	залізниця
cynisch	цинічний
betuigen	висловлювати, засвідчувати
overeenkomen	погоджуватися, збігатися
het woordenboek	словник
gewezen	колишній
het loer	приманка
geïrriteerd	роздратований
de sofa	диван
gunnen	не шкодувати, зичити
inschenken	наливати
omarmen	обіймати
ondankbaar	невдячний
de tombe	гробниця
ondeugend	пустотливий, бешкетливий
lappen	латати; упоратися
de petitie	петиція
de helling	схил, ухил
lozen	зливати, скидати
verwaand	зарозумілий
ondermijnen	підривати, підточувати
de criminaliteit	злочинність
plezierig	приємний
de kennismaking	знайомство
de slagroom	збиті вершки
daarstraks	щойно, недавно
de stewardess	стюардеса
de haas	заєць
bekwaam	умілий, здібний
ontvluchten	тікати від
de wasmachine	пральна машина
gerelateerd	пов'язаний
gedoopt	охрещений
afdoen	знімати; применшувати
gewaagd	ризикований, сміливий
verdwalen	заблукати
het smeergeld	хабар
verwennen	балувати
inbegrepen	включений
alsmaar	весь час
kritisch	критичний
duiden	указувати, тлумачити
experimenteren	експериментувати
de verhuizing	переїзд
onoverwinnelijk	непереможний
de drop	крапля; локриця
stabiliseren	стабілізувати
bezwaren	обтяжувати
doorzetten	наполягати, доводити до кінця
het volume	обсяг; гучність
contacteren	контактувати
ontnemen	відбирати, позбавляти
de moskee	мечеть
tweedehands	вживаний
oprapen	підбирати з землі
ongeschikt	непридатний
aanmoedigen	підбадьорювати, заохочувати
opslaan	зберігати; складувати
bleken	вибілювати
vrijmaken	звільняти
voltooien	завершувати
de scheidsrechter	суддя (спортивний)
de omgang	спілкування, поводження
de schatting	оцінка, приблизний підрахунок
het voorjaar	весна
imponeren	вражати
de transformatie	перетворення
meelopen	іти поруч, супроводжувати
eigenaardig	дивакуватий, своєрідний
snuffelen	нюшити, вишукувати
de dolfijn	дельфін
de oever	берег
het warenhuis	універмаг
de binnenplaats	внутрішній двір
de papegaai	папуга
proper	чистий, охайний
kogelvrij	куленепробивний
organisch	органічний
rondrijden	їздити навколо
linken	зв'язувати, пов'язувати
de schroevendraaier	викрутка
misbruiken	зловживати
toveren	чаклувати
abnormaal	ненормальний
strekken	простягати, розтягувати
