het vuurwerk	феєрверк
oost	схід
het grijs	сірий колір
afgelegen	віддалений
de stier	бик
inmiddels	тим часом, відтоді
hooguit	щонайбільше
eender	однаковий, байдуже
de batterij	батарея
binden	зв'язувати
flirten	фліртувати
staken	страйкувати; припиняти
verblijven	перебувати, гостювати
hardop	уголос
remmen	гальмувати
schijnen	світити; здаватися
overleggen	радитися, обговорювати
toelaten	допускати, дозволяти
het ideaal	ідеал
de conciërge	консьєрж, комендант
de hotelkamer	номер у готелі
koel	прохолодний
inbreken	вламуватися
het oppervlak	поверхня
de hertog	герцог
de software	програмне забезпечення
de bezorgdheid	занепокоєння
keihard	дуже твердий; щосили
onzeker	невпевнений, непевний
ingaan	заходити; набувати чинності
afkomstig	родом, походженням
het onderwijs	освіта
veroveren	завойовувати
het toneelstuk	п'єса
het conflict	конфлікт
de zwangerschap	вагітність
glad	гладкий, слизький
de verkiezing	вибори
het schandaal	скандал
waardig	гідний
realiseren	здійснювати, усвідомлювати
het protest	протест
het voorhoofd	чоло
bevinden	перебувати; виявляти
onderhouden	утримувати, обслуговувати
zevende	сьомий
terughalen	повертати, забирати назад
het landgoed	маєток
onverwacht	несподіваний
de griep	грип
runnen	керувати, вести (справу)
het platteland	сільська місцевість
afpakken	відбирати
griezelig	моторошний
loyaal	лояльний, вірний
de volgorde	порядок, послідовність
de emmer	відро
vermaken	розважати
de herfst	осінь
ongedaan	скасований, невиконаний
de sterkte	міцність, сила
het laboratorium	лабораторія
geduldig	терплячий
de trainer	тренер
fatsoenlijk	пристойний
natrekken	перевіряти, з'ясовувати
gepast	доречний, належний
ondertekenen	підписувати
de instelling	установа; налаштування
vertrouwelijk	конфіденційний
duivels	диявольський
de diepte	глибина
achteraf	згодом, заднім числом
onwaarschijnlijk	малоймовірний
produceren	виробляти
buitenaards	позаземний
het puin	уламки, руїни
aankleden	одягати
de conferentie	конференція
de vos	лисиця
acteren	грати (у виставі)
fietsen	їхати на велосипеді
discreet	стриманий, делікатний
opvoeden	виховувати
de bedrieger	шахрай, ошуканець
financieel	фінансовий
garanderen	гарантувати
de vleugel	крило
de aardbeving	землетрус
inlichten	інформувати
stoned	під кайфом
geliefd	коханий, улюблений
overwinnen	перемагати, долати
opgroeien	рости, дорослішати
opbouwen	будувати, розбудовувати
effectief	ефективний
dolgraag	залюбки, дуже охоче
scheuren	рвати, дерти
voorheen	раніше, колись
openmaken	відкривати
ontwijken	ухилятися
de stoep	тротуар
het gerecht	суд; страва
waanzinnig	божевільний
de buitenkant	зовнішній бік
schuiven	совати, зсувати
de puzzel	пазл, головоломка
insgelijks	навзаєм, так само
verstoren	порушувати, заважати
de betrekking	стосунок; посада
ijskoud	крижаний
de tak	гілка
de advertentie	оголошення, реклама
de cursus	курс (навчання)
de oppervlakte	площа
het sap	сік
achterom	навколо, ззаду
de vertraging	затримка
knuffelen	обіймати, пригортати
opknappen	лагодити, освіжати
verdelen	ділити, розподіляти
de presentatie	презентація
automatisch	автоматичний
integendeel	навпаки
vervelen	набридати
kaal	лисий, голий
analyseren	аналізувати
uithalen	витягати; учиняти
de logica	логіка
de binnenkant	внутрішній бік
wetenschappelijk	науковий
de wanhoop	відчай
besluiten	вирішувати
meten	вимірювати
uitvinden	винаходити
de opmerking	зауваження
ruw	грубий, шорсткий
naïef	наївний
opleveren	давати, приносити (результат)
de gemeente	громада, муніципалітет
de competitie	змагання, конкуренція
strijden	боротися, воювати
oppikken	підбирати, підхоплювати
manipuleren	маніпулювати
de structuur	структура
vrijlaten	звільняти
aanzetten	вмикати; спонукати
kamperen	отаборитися, жити в наметі
attent	уважний, чуйний
opstellen	складати, вишиковувати
slikken	ковтати
vervoeren	перевозити
uitspreken	вимовляти
doornemen	переглядати, розбирати
werelds	світський
opschrijven	записувати
dineren	вечеряти
voltooid	завершений
inhuren	наймати
de kleedkamer	роздягальня
de kassa	каса
alert	пильний
de envelop	конверт
de gewonde	поранений
gehecht	прив'язаний
het nauw	протока
blijken	виявлятися
de aanvraag	заявка, запит
de pier	черв'як; пірс
de lobby	лобі, вестибюль
arrogant	зарозумілий
gigantisch	гігантський
de hoofdstad	столиця
de beschuldiging	звинувачення
corrupt	корумпований
benaderen	наближатися; звертатися
het balkon	балкон
de paal	стовп, паля
worstelen	боротися, змагатися
de godin	богиня
de spin	павук
het lam	ягня
toegewijd	відданий
ijzeren	залізний
uitstellen	відкладати
de makelaar	брокер, ріелтор
de leegte	порожнеча
willekeurig	довільний, випадковий
het festival	фестиваль
de bisschop	єпископ
de achtertuin	задній двір
poetsen	чистити, натирати
de afwezigheid	відсутність
de zijkant	бічна сторона
vooraan	спереду
gehoorzamen	слухатися
boksen	боксувати
de schilder	маляр, художник
tegenkomen	натрапляти, зустрічати
continu	безперервно
vervolgen	продовжувати; переслідувати
opzettelijk	навмисний
observeren	спостерігати
het verdrag	договір
behulpzaam	послужливий, помічний
oversteken	переходити (дорогу)
het ijzer	залізо
dringen	тиснути, проштовхуватися
woest	дикий, лютий
samenwonen	жити разом
verwoesten	руйнувати, спустошувати
kotsen	блювати
het welzijn	добробут
het lint	стрічка
de onderneming	підприємство
de levering	постачання, доставка
uiteen	нарізно, врізнобіч
de knuppel	кийок, дубина
opkomen	підійматися, з'являтися
vertragen	уповільнювати
het ritme	ритм
wreken	мститися
opendoen	відчиняти
hacken	зламувати (комп'ютер)
het debat	дебати
besteden	витрачати, приділяти
verbreken	розривати, порушувати
maximaal	максимальний
smakelijk	смачний
afzeggen	скасовувати
de quarantaine	карантин
gecompliceerd	складний, заплутаний
haasten	поспішати
de veiling	аукціон
de kater	кіт; похмілля
het pakket	пакунок, набір
maf	дивакуватий, чудний
de schaar	ножиці
de lezing	лекція; читання
gister	учора
intiem	інтимний
regenen	дощити
droevig	сумний
razend	лютий, скажений
de barman	бармен
likken	лизати
het evenwicht	рівновага
de norm	норма
uitstaan	терпіти, зносити
de repetitie	репетиція
onderscheiden	розрізняти
bedoelen	мати на увазі
het zonnestelsel	сонячна система
lesbisch	лесбійський
breed	широкий
nagaan	перевіряти, з'ясовувати
evacueren	евакуювати
de romp	тулуб; корпус
giftig	отруйний
racen	мчати, брати участь у перегонах
boeiend	захопливий
de buis	труба
de tocht	похід, подорож
schenken	дарувати; наливати
intens	інтенсивний
afblijven	не чіпати
aangaan	стосуватися
informeren	повідомляти, довідуватися
de ondergrondse	метро; підпілля
dramatisch	драматичний
terugkrijgen	отримувати назад
passeren	проходити повз
krap	тісний, обмежений
de dierenarts	ветеринар
omver	перекидаючи, навзнак
verdergaan	продовжувати
de portier	швейцар, воротар
de verleiding	спокуса
klauwen	дряпати кігтями
vertegenwoordigen	представляти
de inkt	чорнило
ontwerpen	проєктувати
de kantine	їдальня
het weeshuis	сиротинець
allereerst	щонайперше
onafhankelijk	незалежний
stralen	сяяти, випромінювати
deels	частково
taai	жорсткий, витривалий
de hak	підбор
mager	худий, пісний
het dessert	десерт
het thema	тема
zeilen	ходити під вітрилом
het condoom	презерватив
het milieu	довкілля
ondernemen	починати, братися
voldoen	задовольняти, відповідати
koppelen	з'єднувати, зводити
de sportschool	спортзал
de oogst	урожай
ontlopen	уникати, тікати
zweten	пітніти
het tegengif	протиотрута
de begraafplaats	кладовище
rondkijken	роззиратися
behoren	належати
het formulier	бланк, формуляр
intrekken	відкликати, скасовувати
de industrie	промисловість
de demonstratie	демонстрація
de charme	шарм, чарівність
verhoren	допитувати
de groei	зростання
regeren	правити, царювати
de secretaris	секретар
zwaaien	махати
wijd	широкий, просторий
fel	яскравий, різкий
feitelijk	фактичний
het schaap	вівця
het vonnis	вирок
de spot	глум, кепкування
roekeloos	безрозсудний
hongerig	голодний
beschaamd	присоромлений
misleiden	вводити в оману
instorten	обвалюватися
verkrachten	ґвалтувати
slordig	неохайний, недбалий
aankijken	дивитися в очі
het hoogtepunt	вершина, кульмінація
de moraal	мораль
beroerd	кепський, паскудний
balen	бути роздратованим
de onderzeeër	підводний човен
het poeder	порошок
spellen	диктувати по літерах
feliciteren	вітати
het tegendeel	протилежність
bedienen	обслуговувати
strikt	суворий
degelijk	добротний, надійний
de kaak	щелепа
de rede	розум; промова
het woud	ліс, пуща
investeren	інвестувати
de corruptie	корупція
het concept	концепція, задум
het zonlicht	сонячне світло
de melkweg	чумацький шлях
aflopen	закінчуватися, спливати
genetisch	генетичний
de kick	кайф, гострі відчуття
profiteren	мати вигоду
de misdadiger	злочинець
het comité	комітет
vegen	мести
blokkeren	блокувати
daadwerkelijk	фактично, справді
überhaupt	узагалі
aansluiten	під'єднувати, приєднуватися
de douane	митниця
gelden	діяти, бути чинним
afbreken	обривати, зносити
lastigvallen	набридати, чіплятися
de verslaggever	репортер
het zaad	насіння
pissig	роздратований, злий
creatief	творчий
stijf	жорсткий, задерев'янілий
verwelkomen	вітати, зустрічати
de palm	долоня; пальма
schijnbaar	позірний, начебто
het altaar	вівтар
de garantie	гарантія
het toernooi	турнір
de orkaan	ураган
het instrument	інструмент
aanhouden	затримувати; наполягати
de tang	кліщі, обценьки
de buurvrouw	сусідка
bijhouden	устигати; вести (записи)
de apotheek	аптека
activeren	активувати
interesseren	цікавити
smelten	танути, плавити
de stoom	пара
beperken	обмежувати
begrijpelijk	зрозумілий
de rok	спідниця
het lokaal	приміщення, клас
de eenzaamheid	самотність
de inrichting	облаштування; заклад
fataal	фатальний
de walvis	кит
mannelijk	чоловічий
het bijzijn	присутність
zorgvuldig	ретельний, дбайливий
vredig	мирний, спокійний
de dam	гребля, дамба
afgeven	віддавати, здавати
de filosofie	філософія
neerleggen	класти, складати
daarginds	он там
rechtzetten	випрямляти, виправляти
de jam	джем
de administratie	адміністрація
de architect	архітектор
vastbesloten	рішучий, налаштований
