morgenvroeg	завтра вранці
undercover	під прикриттям
het commando	наказ; загін спецпризначення
star	застиглий, нерухомий
de long	легеня
de tweeling	близнюки
de draak	дракон
heten	називатися
de kooi	клітка
beheersen	володіти, контролювати
het concert	концерт
vermijden	уникати
kwetsbaar	вразливий
kleuren	розфарбовувати
de raket	ракета
straffen	карати
het bestuur	правління, керівництво
contant	готівкою
wreed	жорстокий
het mysterie	таємниця
het symbool	символ
de traditie	традиція
ontkennen	заперечувати
het verkeer	дорожній рух
de knie	коліно
de heuvel	пагорб
de timing	час, вибір моменту
de penis	пеніс
benieuwd	цікаво, кортить дізнатися
aangeven	подавати; заявляти
uitkomen	збуватися; виходити
de hitte	спека
de chocolade	шоколад
de verf	фарба
het paleis	палац
de werkelijkheid	дійсність
gewapend	озброєний
de toespraak	промова
het recept	рецепт
enthousiast	захоплений, ентузіастичний
het scherm	екран
de politieagent	поліцейський
lokken	приманювати, вабити
de oefening	вправа
de commissie	комісія
stiekem	потайки, крадькома
afsluiten	зачиняти, завершувати
inpakken	пакувати
winkelen	ходити по магазинах
vrijen	кохатися
toegestaan	дозволений
beleefd	ввічливий
het blok	блок, брусок
het verlangen	бажання, туга
de revolutie	революція
de pastoor	парафіяльний священник
het drama	драма
laden	вантажити; заряджати
het bedrag	сума
bevallen	подобатися; народжувати
het lawaai	шум, галас
de plant	рослина
staren	витріщатися
het konijn	кролик
huren	орендувати, наймати
het misdrijf	злочин
overlijden	помирати
de procedure	процедура
douchen	приймати душ
gokken	грати в азартні ігри
duiken	пірнати
het fruit	фрукти
de sloot	канава, рів
het uiterlijk	зовнішність
doof	глухий
terugbrengen	повертати назад
schamen	соромитися
de tempel	храм
de wetenschapper	науковець
het kanaal	канал
de speech	промова
de voorraad	запас
legaal	законний, легальний
overwegen	обмірковувати, розглядати
het vee	худоба
de metro	метро
afhankelijk	залежний
de speler	гравець
de aflevering	серія, випуск; доставка
behouden	зберігати
durven	наважуватися
goedmaken	виправити, загладити
de website	вебсайт
de firma	фірма
bloeden	кровоточити
de schop	лопата; штурхан
de wiskunde	математика
het nest	гніздо
de stok	палиця
afspreken	домовлятися
het vermoeden	підозра, здогад
bemoeien	втручатися
de kern	ядро, суть
de bagage	багаж
het begrip	розуміння; поняття
braaf	слухняний, чемний
opsluiten	замикати, ув'язнювати
de doodsoorzaak	причина смерті
de gewoonte	звичка, звичай
het moordwapen	знаряддя вбивства
boeren	займатися фермерством
het gerucht	чутка
bijten	кусати
opzetten	налаштовувати, встановлювати
de trekker	трактор; курок
wegkomen	вибратися, утекти
opereren	оперувати
de kok	кухар
stevig	міцний, сталий
de hoeveelheid	кількість
de rots	скеля
de boer	фермер, селянин
de buurman	сусід
de bouw	будівництво
versieren	прикрашати
ontploffen	вибухати
dumpen	викидати, скидати
gisterenavond	учора ввечері
gevuld	наповнений
volhouden	витримувати, наполягати
begaan	ступати; учинити
verwerken	обробляти, переробляти
de draad	нитка; дріт
pikken	дзьобати; поцупити
ruimen	звільняти місце, прибирати
de zaal	зала
de piano	піаніно
de kou	холод
spoedig	незабаром, швидкий
de beurs	гаманець; біржа; стипендія
opblazen	надувати; підривати
de leerling	учень
algemeen	загальний
ongemakkelijk	незручний, ніяковий
de uitgang	вихід
de jongedame	панночка
klimmen	підійматися, лізти
de voordeur	вхідні двері
regelmatig	регулярний
doorgeven	передавати далі
de modder	багно, грязь
de kroon	корона
de maffia	мафія
de functie	посада; функція
verward	спантеличений, заплутаний
de vreugde	радість
nuchter	тверезий; натщесерце
typisch	типовий
de rechtszaal	зала суду
overdreven	перебільшений
beu	ситий по горло
vergelijken	порівнювати
het telefoonnummer	номер телефону
de zeep	мило
het accent	акцент
krachtig	потужний, сильний
zelden	рідко
falen	зазнавати невдачі
het congres	конгрес
de secretaresse	секретарка
schakelen	перемикати
de jungle	джунглі
de riem	ремінь, пасок
oproepen	викликати, закликати
de schoen	черевик, взуття
herhalen	повторювати
exact	точний
uniek	унікальний
professioneel	професійний
opsporen	вистежувати, розшукувати
het voetbal	футбол
levenslang	довічний
de parkeerplaats	місце для паркування
grazen	пастися
de ambassade	посольство
verdragen	терпіти, зносити
de bloem	квітка
vrijwillig	добровільний
kalmeren	заспокоюватися
de tijger	тигр
overeind	прямо, на ногах
innemen	приймати (ліки); займати
tof	класний
de grootmoeder	бабуся
de clown	клоун
het zweet	піт
de cultuur	культура
de tiener	підліток
doorstaan	витримати, пережити
drijven	плавати, дрейфувати
plots	раптом
geladen	заряджений
respecteren	поважати
het beleid	політика, курс дій
de apparatuur	обладнання
achterhalen	з'ясувати, наздогнати
voortdurend	постійний, безперервний
traceren	відстежувати
de praktijk	практика
het bewijsmateriaal	докази
seksueel	сексуальний
klappen	плескати
verstaan	розуміти, чути
de troon	трон
verrassen	дивувати, заскочити
de bevolking	населення
verbeteren	покращувати
het salaris	зарплата
voortaan	відтепер
de lamp	лампа
stoer	крутий, міцний
de lente	весна
geniaal	геніальний
beëindigen	завершувати
dekken	накривати, покривати
onbeleefd	неввічливий
het bestand	файл
extreem	екстремальний
de stapel	стос, купа
misselijk	нудить
het front	фронт
de paus	папа римський
overdag	вдень
