hebben	мати
de weg	дорога, шлях
de man	чоловік
oké	добре, гаразд
mee	разом, із собою
nodig	потрібний, необхідний
worden	ставати
de tijd	час
het leven	життя
de dood	смерть
het jaar	рік
de dag	день
het huis	дім, будинок
de vader	батько
de vrouw	жінка; дружина
praten	розмовляти
het geld	гроші
het werk	робота
beter	краще; здоровий
de moeder	мати
helpen	допомагати
het uur	година
klaar	готовий
leuk	приємний, милий
de god	бог
lang	довгий; високий
alsjeblieft	будь ласка
eerste	перший
steeds	постійно, весь час
vertellen	розповідати
het idee	ідея
mooi	гарний, красивий
kijken	дивитися
de naam	ім'я, назва
de auto	автомобіль
snel	швидкий
vragen	питати
het paar	пара
de meneer	пан
zorgen	подбати, забезпечити
de vriend	друг
de hand	рука, кисть
de vraag	питання
geweldig	чудовий, неймовірний
zelfs	навіть
geleden	тому (про час)
de jongen	хлопець
vandaag	сьогодні
de wereld	світ
eerst	спочатку
eigen	власний
de zoon	син
de morgen	ранок
het probleem	проблема
het geloof	віра
halen	принести, забрати
de familie	родина
de politie	поліція
werken	працювати
horen	чути
de manier	спосіб
het kind	дитина
vroeg	рано, ранній
wachten	чекати
rustig	спокійний
het hoofd	голова
de kant	бік, сторона
open	відкритий
de zaak	справа; бізнес
blij	радий
de kans	шанс
vanavond	сьогодні ввечері
zoeken	шукати
het ding	річ
het moment	момент
de plaats	місце
prima	чудово, відмінно
de hulp	допомога
de stad	місто
de pijn	біль
slecht	поганий
geloven	вірити
eruit	геть, назовні
de school	школа
het plan	план
de broer	брат
het pak	костюм; пачка
de kamer	кімната
spreken	говорити
juist	правильний, саме
heet	гарячий
het soort	вид, різновид
gebruiken	використовувати
proberen	пробувати
de dokter	лікар
de agent	поліцейський
vrij	вільний
de foto	фото
de dochter	дочка
de plek	місце
het water	вода
de week	тиждень
beginnen	починати
de deur	двері
de baby	немовля
bellen	дзвонити
groot	великий
stoppen	зупиняти, припиняти
moeilijk	важкий, складний
het land	країна; земля
de mevrouw	пані
pakken	брати, хапати
het verhaal	історія, розповідь
vergeten	забувати
mogelijk	можливий
het bloed	кров
de nacht	ніч
het nieuws	новини
het bed	ліжко
de waarheid	правда
de reden	причина
vermoorden	вбити
de dollar	долар
bezig	зайнятий
de avond	вечір
de schuld	борг; провина
veilig	безпечний
redden	рятувати
het hart	серце
duidelijk	зрозумілий, чіткий
vol	повний
de vriendin	подруга, дівчина
de baas	начальник, бос
de moord	вбивство
klein	маленький
fijn	приємний
het lichaam	тіло
eerlijk	чесний
het gezicht	обличчя
ver	далеко
wakker	той, що не спить
leren	вчити, вчитися
de telefoon	телефон
het nummer	номер
de fout	помилка
slapen	спати
de liefde	кохання, любов
liggen	лежати
vallen	падати
belangrijk	важливий
sterven	помирати
oud	старий
de buurt	район, околиця
de rest	решта
het team	команда
vooruit	вперед
de baan	робота; смуга
inderdaad	справді
het geval	випадок
zetten	ставити, класти
de oorlog	війна
kennen	знати, бути знайомим
het geluk	щастя, удача
het wapen	зброя
de kop	голова тварини; чашка
het vertrouwen	довіра
de rust	спокій, відпочинок
de mond	рот
betalen	платити
het recht	право
het kantoor	офіс
tweede	другий
het onderzoek	дослідження, розслідування
welkom	ласкаво просимо
hard	твердий; сильно
het bewijs	доказ
aardig	привітний, милий
het stuk	шматок, частина
het woord	слово
veranderen	змінювати
de vent	тип, хлопець
de zus	сестра
nieuw	новий
ontmoeten	зустрічати
het kwaad	зло
gisteren	вчора
de film	фільм
het antwoord	відповідь
noemen	називати
de informatie	інформація
het boek	книга
stil	тихий, нерухомий
de kapitein	капітан
boos	сердитий
het licht	світло
de persoon	особа, людина
beschermen	захищати
het ziekenhuis	лікарня
het gevoel	почуття
voorzichtig	обережний
de hond	собака
rijden	їхати
eindelijk	нарешті
de aarde	земля, ґрунт
grappig	смішний
voelen	відчувати
de moordenaar	вбивця
de mens	людина
de president	президент
nogal	досить, доволі
de gevangenis	в'язниця
prachtig	чудовий, розкішний
kopen	купувати
vechten	битися, боротися
het punt	пункт, точка
vreemd	дивний
trouwen	одружуватися
verkeerd	неправильний
de koffie	кава
het schip	корабель
ziek	хворий
het plezier	задоволення
de advocaat	адвокат
de heer	пан; господар
opnieuw	знову
serieus	серйозний
zomaar	просто так
de controle	перевірка; контроль
het spel	гра
perfect	ідеальний
de koning	король
de grond	земля, ґрунт
winnen	вигравати
het gebruik	використання, вжиток
begrijpen	розуміти
verliezen	програвати, губити
vroeger	раніше
de lucht	повітря; небо
verlaten	покидати
schieten	стріляти
de toekomst	майбутнє
slim	розумний
het stuur	кермо
het leger	армія
half	половина
hierheen	сюди
het geheim	таємниця
makkelijk	легкий, простий
de kracht	сила
het ongeluk	аварія; нещастя
de relatie	стосунки
volgen	слідувати
bewijzen	доводити
de oom	дядько
lijken	здаватися
sturen	надсилати; керувати
het slachtoffer	жертва
de maand	місяць (календарний)
de dienst	служба, послуга
het feest	свято, вечірка
vreselijk	жахливий
het gevaar	небезпека
wonen	жити, мешкати
het succes	успіх
vertrekken	від'їжджати
de muziek	музика
raar	дивний
de slaap	сон
de ruimte	простір; космос
schuldig	винний
luisteren	слухати
sterk	сильний
omhoog	вгору
de afspraak	домовленість, зустріч
lezen	читати
de hemel	небо
gisteravond	учора ввечері
fantastisch	фантастичний
de bank	диван; банк
het pistool	пістолет
het bedrijf	підприємство, фірма
de camera	камера
blijkbaar	очевидно, мабуть
verkopen	продавати
zolang	доки, поки
de straat	вулиця
de geest	дух, привид
het vuur	вогонь
het hotel	готель
de droom	мрія, сон
verliefd	закоханий
jammer	шкода
de rug	спина
de vertaling	переклад
slaan	бити
het doel	мета
gevaarlijk	небезпечний
de lijst	список; рамка
schelen	мати значення
dragen	нести; носити
stom	дурний
het gesprek	розмова
de prijs	ціна; приз
voorstellen	представляти, пропонувати
het huwelijk	шлюб
missen	сумувати; пропустити
schrijven	писати
de groep	група
herinneren	нагадувати
het vliegtuig	літак
onderweg	у дорозі
trekken	тягнути
de zak	мішок, сумка; кишеня
de stem	голос
het gezin	сім'я
de keuze	вибір
raken	торкатися; влучати
direct	прямий, негайний
de boot	човен
het verleden	минуле
de situatie	ситуація
moe	втомлений
de tafel	стіл
de band	шина; стрічка; зв'язок
de generaal	генерал
de reis	подорож
de honger	голод
het gebouw	будівля
zwaar	важкий
de gast	гість
de rechter	суддя
het bureau	письмовий стіл
de macht	влада, могутність
de regel	правило; рядок
de ruzie	сварка
dronken	п'яний
vliegen	літати
tuurlijk	звісно
koud	холодний
regelen	залагодити, організувати
het bericht	повідомлення
de vlucht	рейс, політ
de moeite	зусилля, клопіт
de hel	пекло
de dame	дама, пані
het oog	око
dansen	танцювати
het teken	знак
onmogelijk	неможливий
helaas	на жаль
de arm	рука
de show	шоу
lachen	сміятися
leggen	класти
de sleutel	ключ
de wet	закон
het aantal	кількість
leiden	вести, керувати
het lijk	труп
kapot	зламаний
uiteindelijk	врешті-решт
de kaart	карта; картка
de kerk	церква
de brand	пожежа
wegwezen	забиратися геть
lastig	складний, обтяжливий
het gebied	область, територія
de operatie	операція
persoonlijk	особистий
liegen	брехати
zwanger	вагітна
de club	клуб
het respect	повага
de missie	місія
cool	крутий
de zon	сонце
het paard	кінь
de brief	лист
de rij	ряд, черга
het risico	ризик
meestal	здебільшого
de rechercheur	детектив, слідчий
de bar	бар
hoeven	бути потрібним, мусити
hopelijk	сподіваюся
de lijn	лінія
de zuster	сестра
de bal	м'яч
de aanval	напад, атака
de aandacht	увага
kiezen	вибирати
het adres	адреса
de zee	море
hoog	високий
het bevel	наказ
de wedstrijd	змагання, матч
sluiten	зачиняти
volledig	повний, цілковитий
de les	урок
de ziel	душа
interessant	цікавий
de computer	комп'ютер
de planeet	планета
bereiken	досягати
de verdachte	підозрюваний
uitleggen	пояснювати
laatst	останній
de winkel	магазин
de wagen	віз, автомобіль
de angst	страх
de muur	стіна
leeg	порожній
het bezoek	візит, відвідини
stelen	красти
bekijken	розглядати
de helft	половина
warm	теплий
vanmorgen	сьогодні вранці
het park	парк
heerlijk	чудовий, смачний
rennen	бігти
het volk	народ
kort	короткий
onderzoeken	досліджувати, розслідувати
de haast	поспіх
het systeem	система
de meester	майстер, господар
bewegen	рухатися
de neus	ніс
de broek	штани
verdienen	заробляти; заслуговувати
de vijand	ворог
de verrassing	сюрприз
de geschiedenis	історія
bezorgd	стурбований
de hoogte	висота
de vrede	мир
de bus	автобус
belachelijk	смішний, безглуздий
het raam	вікно
de wijn	вино
het mes	ніж
weggaan	іти геть
het weekend	вихідні
de bom	бомба
het spoor	слід; колія
de held	герой
de tas	сумка
de thee	чай
meenemen	брати з собою
de nek	шия
ongelooflijk	неймовірний
de ring	кільце, перстень
dichtbij	близько
het feit	факт
de professor	професор
het verschil	різниця
de collega	колега
alweer	знову
de rekening	рахунок
de beslissing	рішення
het verlies	втрата, поразка
het been	нога; кістка
de verjaardag	день народження
de lift	ліфт
de koningin	королева
de trein	потяг
het monster	монстр; зразок
zingen	співати
het lot	доля
knap	вродливий; кмітливий
duren	тривати
speciaal	особливий
gesloten	зачинений
vannacht	сьогодні вночі
het ijs	лід; морозиво
de beurt	черга
het appartement	квартира
de cel	камера; клітина
begraven	ховати, поховати
de indruk	враження
het vlees	м'ясо
de strijd	боротьба
de ochtend	ранок
de keuken	кухня
de energie	енергія
vernietigen	знищувати
geregeld	регулярний
plaatsen	розміщувати
de la	шухляда
bedanken	дякувати
ophouden	припиняти
hangen	висіти, вішати
de kennis	знання
de patiënt	пацієнт
de basis	основа, база
de kat	кіт, кішка
het glas	скло; склянка
de dader	злочинець, винуватець
het zwart	чорний колір
