vatten	схоплювати, розуміти
de kalender	календар
het anker	якір
chagrijnig	буркотливий, роздратований
fluisteren	шепотіти
ruziën	сваритися
winden	намотувати
spontaan	спонтанний
uitgestorven	вимерлий
machteloos	безсилий
ambitieus	амбітний
de poster	плакат
centraal	центральний
voorin	спереду
hoezeer	наскільки
het fatsoen	пристойність
vernielen	нищити, руйнувати
uitproberen	випробовувати
de airco	кондиціонер
sporten	займатися спортом
omschrijven	описувати
het postkantoor	поштове відділення
schokkend	шокуючий
achterdochtig	підозріливий
voortzetten	продовжувати
uitbreiden	розширювати
sluipen	крастися
eersteklas	першокласний
de staking	страйк
elegant	елегантний
duimen	тримати кулаки
bevriezen	замерзати, заморожувати
pleiten	захищати в суді, обстоювати
wazig	розмитий, каламутний
uitdelen	роздавати
opscheppen	накладати (їжу); вихвалятися
de ketchup	кетчуп
de mat	килимок
overreden	переконувати
plagen	дражнити
versnellen	пришвидшувати
efficiënt	ефективний
stichten	засновувати
de slavernij	рабство
eindeloos	нескінченний
simpelweg	просто
historisch	історичний
installeren	установлювати
de herder	пастух
handhaven	підтримувати, дотримувати
uitzonderlijk	винятковий
begeven	не витримувати, ламатися
verrichten	виконувати, здійснювати
overgaan	переходити; дзвонити (про телефон)
fraai	гарний, вродливий
de boeg	ніс корабля
gebruikelijk	звичний, узвичаєний
hysterisch	істеричний
overlaten	залишати, доручати
mentaal	ментальний, психічний
de linkerhand	ліва рука
het graan	зерно
confronteren	протиставляти, зіштовхувати
de schepper	творець
het voorval	випадок, пригода
de citroen	лимон
linksaf	ліворуч
de balie	стійка, прилавок
de tango	танго
troosten	утішати
de vicepresident	віцепрезидент
de vriendelijkheid	привітність
de eetlust	апетит
koelen	охолоджувати
ongeduldig	нетерплячий
golfen	грати в гольф
omzeilen	обходити, оминати
suf	осоловілий, млявий
stinken	смердіти
de vaas	ваза
de limiet	межа, ліміт
de fontein	фонтан
de kool	капуста
de zangeres	співачка
negende	дев'ятий
afhalen	забирати, знімати
aanhoren	вислуховувати
gruwelijk	жахливий, моторошний
terugzien	бачити знову
kenmerken	характеризувати
prikken	колоти, жалити
vestigen	засновувати, оселяти
beschadigen	пошкоджувати
onroerend	нерухомий
federaal	федеральний
wonderbaarlijk	дивовижний, чудесний
de app	застосунок
hechten	прикріплювати; надавати значення
wijzigen	змінювати, редагувати
herboren	відроджений
doorrijden	проїжджати, їхати далі
de rover	грабіжник
opbrengen	приносити (дохід); спромогтися
babbelen	теревенити
begroeten	вітати
het dal	долина
hoeden	доглядати, пасти
beschaafd	цивілізований, вихований
dakloos	бездомний
kwaadaardig	злоякісний, злий
strijken	прасувати; гладити
zweven	ширяти, витати
verrukkelijk	чудовий, розкішний
stilstaan	стояти нерухомо
bewerken	обробляти
ontroerend	зворушливий
de vereniging	об'єднання, товариство
splitsen	розділяти, розщеплювати
rauw	сирий
overhandigen	вручати
vastberaden	рішучий
de poes	кішка
de redacteur	редактор
voorspelbaar	передбачуваний
het kampioenschap	чемпіонат
onbetrouwbaar	ненадійний
de natuurkunde	фізика
tamelijk	доволі, досить
de zetel	крісло; місце (в парламенті)
omkeren	перевертати, розвертати
het huishouden	домашнє господарство
de file	затор
de duif	голуб
omkopen	підкуповувати
janken	скиглити, вити
het rif	риф
geloofwaardig	правдоподібний
de verantwoordelijke	відповідальна особа
de hop	хміль; одуд
de verplichting	зобов'язання
kampen	боротися, змагатися
de ketel	казан, чайник
annuleren	скасовувати
onschadelijk	нешкідливий
overnachten	ночувати
treurig	сумний, журливий
de hoofdrol	головна роль
de hoofdverdachte	головний підозрюваний
trakteren	пригощати
de plee	вбиральня
de werkplaats	майстерня
de bakker	пекар
de unie	союз, унія
maatschappelijk	суспільний
verantwoorden	відповідати за, обґрунтовувати
discussiëren	дискутувати
het paars	фіолетовий колір
krassen	дряпати
kauwen	жувати
het gordijn	штора, завіса
betrappen	заскочити, спіймати на гарячому
openlijk	відкрито, прилюдно
optimistisch	оптимістичний
verenigen	об'єднувати
overbodig	зайвий, надлишковий
de pool	полюс
het schaken	грати в шахи
de loper	бігун; доріжка (килим)
ruig	грубий, кошлатий
schuilen	ховатися, шукати укриття
vervallen	занепадати; утрачати чинність
rechtvaardig	справедливий
de tuinman	садівник
de aanbieding	пропозиція, акція
de nagel	ніготь; цвях
uitkiezen	вибирати
schaatsen	кататися на ковзанах
de overvloed	достаток, надлишок
bombarderen	бомбардувати
hogerop	вище, угору
binnenlaten	впускати
de mouw	рукав
de meeting	зустріч, нарада
rechtsaf	праворуч
klaren	упоратися, залагодити
executeren	страчувати
relatief	відносний
ontcijferen	розшифровувати
bewonderen	захоплюватися
de leidinggevende	керівник
gunstig	сприятливий
psychologisch	психологічний
enzovoort	і так далі
opduiken	виринати, з'являтися
de kruising	перехрестя; схрещування
chic	шикарний
de docent	викладач
adviseren	радити
de yoghurt	йогурт
biechten	сповідатися
streven	прагнути
de stekker	штепсель, вилка
daarentegen	натомість, з іншого боку
rammen	таранити
getalenteerd	талановитий
vastbinden	прив'язувати
oogsten	збирати врожай
de taxichauffeur	таксист
verlossen	визволяти, рятувати
oneens	незгодний
het consulaat	консульство
bijdragen	робити внесок
de wieg	колиска
intimideren	залякувати
sprekend	дуже схожий
de disco	дискотека
geacht	шановний
improviseren	імпровізувати
arriveren	прибувати
volmaakt	досконалий
de buur	сусід
wrijven	терти
verdoen	марнувати
uitroeien	викорінювати, винищувати
