toegankelijk	доступний
besluipen	підкрадатися
zuidwaarts	на південь
nakomen	виконувати, дотримувати
de yen	єна
de oprichter	засновник
de luidspreker	гучномовець
chillen	відпочивати, розслаблятися
dimmen	приглушувати світло
inbrengen	вносити, додавати
popelen	нетерпляче чекати
neerbuigend	поблажливий, зверхній
uitvechten	з'ясувати в боротьбі
de wasbeer	єнот
volstaan	бути достатнім
speculeren	спекулювати, робити припущення
sec	сухий, сухо
waarmaken	справджувати, доводити ділом
doorhebben	розкусити, збагнути
schorsen	призупиняти, відстороняти
de opwarming	потепління
tongen	цілуватися по-французьки
rondneuzen	нишпорити, роздивлятися
klaarblijkelijk	очевидний
het deeg	тісто
ijsberen	міряти кроками кімнату
knus	затишний
inzitten	хвилюватися, перейматися
onderling	взаємний, між собою
geuren	пахнути
misten	туманитися
de prullenbak	кошик для сміття
uitbreken	вибухати, вириватися
breien	в'язати
nochtans	проте, а втім
het noordoosten	північний схід
verbluffend	приголомшливий
bevooroordeeld	упереджений
uitdrukken	висловлювати
poseren	позувати
ongehoorzaam	неслухняний
verschaffen	надавати, забезпечувати
voorschrijven	приписувати
gieten	лити
aanschouwen	споглядати
terzijde	убік, осторонь
heelhuids	цілий і неушкоджений
de journalistiek	журналістика
volstrekt	цілковитий
christelijk	християнський
bestelen	обкрадати
onderduiken	ховатися, іти в підпілля
ongeboren	ненароджений
happen	кусати, хапати ротом
de smid	коваль
afschudden	струшувати, позбуватися
onjuist	неправильний
kil	холодний, черствий
de verhoging	підвищення
ploegen	орати
toepassen	застосовувати
waakzaam	пильний
adembenemend	захопливий, приголомшливий
terugpakken	забирати назад; поквитатися
onwijs	нерозумний; страшенно
wegjagen	проганяти
afgezaagd	заяложений, банальний
bewonderenswaardig	гідний захоплення
warmen	гріти
bestormen	штурмувати
doormidden	навпіл
bekeren	навертати (у віру)
dwarsbomen	перешкоджати, ставити палиці в колеса
stomdronken	п'яний як чіп
opsteken	навчитися; підіймати
afweten	знатися, розумітися
transformeren	перетворювати
aankloppen	стукати у двері
het zuidwesten	південний захід
onvergeeflijk	непрощенний
hijsen	піднімати, підтягувати
de verduistering	затемнення; розтрата
hebberig	жадібний
de aanblik	вигляд, видовище
de mom	личина, маска
de balk	балка, брус
binnendringen	проникати, вдиратися
uitleveren	видавати (злочинця)
hergroeperen	перегруповуватися
weerloos	беззахисний
toepasselijk	доречний, влучний
ophelderen	з'ясовувати, прояснювати
veeleisend	вимогливий
de alligator	алігатор
ethisch	етичний
de mok	кухоль
de aktetas	портфель
evalueren	оцінювати
