blank	блідий, білий
achterover	назад, горілиць
het tiende	десятина
de pasta	паста
de strot	горло, горлянка
posten	відправляти поштою
bedekken	накривати, укривати
de kloof	прірва, ущелина
biologisch	біологічний
middenin	посередині
de halte	зупинка
oneindig	нескінченний
onvoorspelbaar	непередбачуваний
aanvragen	подавати заявку, замовляти
neerhalen	збивати, зносити
het parlement	парламент
schermen	фехтувати
de verwarming	опалення
flikken	утнути, провернути
bederven	псуватися
de vijver	ставок
de noordpool	північний полюс
eindig	скінченний
losmaken	відв'язувати, розстібати
daartoe	для цього, з цією метою
de constante	константа
angstig	боязкий, тривожний
identiek	ідентичний
de uitkomst	результат, наслідок
vastzitten	застрягти
de gastvrijheid	гостинність
elimineren	усувати, ліквідувати
lekken	протікати
de viool	скрипка
sentimenteel	сентиментальний
de drang	потяг, тиск
de armoede	бідність
de afgrond	прірва
de paraplu	парасолька
de sint	святий
knallen	бахкати, гриміти
de zanger	співак
opvallen	впадати в око, вирізнятися
het potlood	олівець
lesgeven	викладати
het harnas	обладунок
immuun	імунний, несприйнятливий
de impact	вплив, удар
interviewen	брати інтерв'ю
vertonen	показувати, демонструвати
omgekeerd	зворотний, навпаки
akelig	бридкий, моторошний
inademen	вдихати
functioneren	функціонувати
het riool	каналізація
schaden	шкодити
de biologie	біологія
oppervlakkig	поверховий
gestrest	у стресі
gesmeerd	гладко, без проблем
dreigen	погрожувати, загрожувати
de tentoonstelling	виставка
de stomerij	хімчистка
spoelen	полоскати, промивати
de menselijkheid	людяність
schandalig	ганебний, обурливий
het speeltje	іграшка
verhongeren	голодувати, помирати з голоду
wegnemen	забирати, усувати
de opvoeding	виховання
aankunnen	справлятися, витримувати
